pair_id,subset,program,group,status,acc_percent,hit_at_1,hit_at_3,mrr,ranking_queries,ranking_missing,t_se,t_align,t_smt,t_total,pruning_rate_percent,total_candidate_pairs,aligned_pairs,correct_pairs,smt_calls,command,stdout_path,stderr_path,trace_paths,ground_truth,prediction,confusion,error
Ran/gammln_Eq,Ran,gammln_Eq,fmcad_align,ok,100.0,100.0,100.0,1.0,1,0,1.5277470000000002,0.0008082089999561504,0.09423724794760346,1.6227924569475598,-700.0,1,1,1,8,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/gammln/Eq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Ran/gammln_Eq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/gammln_Eq/fmcad/verification_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_Eq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_Eq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_Eq/fmcad_verify.trace.jsonl,True,True,TP,
Ran/gammln_NEq,Ran,gammln_NEq,naive,ok,0.0,100.0,100.0,1.0,1,0,1.533004,1.2250000054336851e-05,0.09341887594200671,1.626435125942061,-700.0,1,1,0,8,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/gammln/NEq/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/gammln_NEq/naive_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_NEq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_NEq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_NEq/naive.trace.jsonl,False,True,FP,
Ran/gammln_NEq,Ran,gammln_NEq,veribin_align,ok,0.0,100.0,100.0,1.0,1,0,1.533004,0.0006489170000349986,0.09376733214594424,1.6274202491459793,-700.0,1,1,0,8,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/gammln/NEq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Ran/gammln_NEq/veribin.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/gammln_NEq/veribin_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_NEq/veribin_align.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_NEq/veribin_align.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_NEq/veribin_align.trace.jsonl,False,True,FP,
Ran/gammln_NEq,Ran,gammln_NEq,fmcad_align,ok,0.0,100.0,100.0,1.0,1,0,1.533004,0.0010624170000710365,0.09309966256842017,1.6271660795684912,-700.0,1,1,0,8,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/gammln/NEq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Ran/gammln_NEq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/gammln_NEq/fmcad/verification_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_NEq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_NEq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/gammln_NEq/fmcad_verify.trace.jsonl,False,True,FP,
Ran/ranzero_Eq,Ran,ranzero_Eq,naive,ok,50.0,50.0,100.0,0.75,2,0,1.553506,7.37499999559077e-06,0.3923102072440088,1.9458235822440044,-300.0,4,2,1,16,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/ranzero/Eq/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/ranzero_Eq/naive_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_Eq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_Eq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_Eq/naive.trace.jsonl,True,True,TP,
Ran/ranzero_Eq,Ran,ranzero_Eq,veribin_align,ok,50.0,50.0,100.0,0.75,2,0,1.553506,0.0002845839999281452,0.3128564564976841,1.8666470404976123,-300.0,4,2,1,16,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/ranzero/Eq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Ran/ranzero_Eq/veribin.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/ranzero_Eq/veribin_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_Eq/veribin_align.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_Eq/veribin_align.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_Eq/veribin_align.trace.jsonl,True,True,TP,
Ran/ranzero_Eq,Ran,ranzero_Eq,fmcad_align,ok,50.0,50.0,100.0,0.75,2,0,1.553506,0.0014543750000939326,0.3149708721321076,1.8699312471322016,-300.0,4,2,1,16,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/ranzero/Eq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Ran/ranzero_Eq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/ranzero_Eq/fmcad/verification_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_Eq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_Eq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_Eq/fmcad_verify.trace.jsonl,True,True,TP,
Ran/ranzero_NEq,Ran,ranzero_NEq,naive,ok,100.0,50.0,100.0,0.75,2,0,1.5492460000000001,7.70799988458748e-06,0.37345879012718797,1.9227124981270727,-250.0,4,1,1,14,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/ranzero/NEq/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/ranzero_NEq/naive_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_NEq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_NEq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_NEq/naive.trace.jsonl,False,False,TN,
Ran/ranzero_NEq,Ran,ranzero_NEq,veribin_align,ok,100.0,50.0,100.0,0.75,2,0,1.5492460000000001,0.00028666699995483214,0.37266108207404613,1.922193749074001,-250.0,4,1,1,14,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/ranzero/NEq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Ran/ranzero_NEq/veribin.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/ranzero_NEq/veribin_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_NEq/veribin_align.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_NEq/veribin_align.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_NEq/veribin_align.trace.jsonl,False,False,TN,
Ran/ranzero_NEq,Ran,ranzero_NEq,fmcad_align,ok,100.0,50.0,100.0,0.75,2,0,1.5492460000000001,0.0016757910000251286,0.37574425083585083,1.926666041835876,-250.0,4,1,1,14,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Ran/ranzero/NEq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Ran/ranzero_NEq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Ran/ranzero_NEq/fmcad/verification_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_NEq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_NEq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Ran/ranzero_NEq/fmcad_verify.trace.jsonl,False,False,TN,
