pair_id,subset,program,group,status,acc_percent,hit_at_1,hit_at_3,mrr,ranking_queries,ranking_missing,t_se,t_align,t_smt,t_total,pruning_rate_percent,total_candidate_pairs,aligned_pairs,correct_pairs,smt_calls,command,stdout_path,stderr_path,trace_paths,ground_truth,prediction,confusion,error
ModDiff/UnchLoop_Eq,ModDiff,UnchLoop_Eq,naive,ok,100.0,100.0,100.0,1.0,1,0,7.631368999999999,1.0083999995913473e-05,0.17598383105359972,7.807362915053595,-700.0,1,1,1,8,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/Eq/UnchLoop/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/UnchLoop_Eq/naive_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/UnchLoop_Eq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/UnchLoop_Eq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/UnchLoop_Eq/naive.trace.jsonl,True,True,TP,
ModDiff/UnchLoop_Eq,ModDiff,UnchLoop_Eq,veribin_align,ok,100.0,100.0,100.0,1.0,1,0,7.631368999999999,0.0005302080000433307,0.1760769581887871,7.80797616618883,-700.0,1,1,1,8,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/Eq/UnchLoop/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/rankings/ModDiff/UnchLoop_Eq/veribin.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/UnchLoop_Eq/veribin_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/UnchLoop_Eq/veribin_align.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/UnchLoop_Eq/veribin_align.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/UnchLoop_Eq/veribin_align.trace.jsonl,True,True,TP,
ModDiff/UnchLoop_Eq,ModDiff,UnchLoop_Eq,fmcad_align,ok,100.0,100.0,100.0,1.0,1,0,7.631368999999999,0.01984966599997051,0.18321125116199255,7.8344299171619625,-700.0,1,1,1,8,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/Eq/UnchLoop/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/rankings/ModDiff/UnchLoop_Eq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/UnchLoop_Eq/fmcad/verification_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/UnchLoop_Eq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/UnchLoop_Eq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/UnchLoop_Eq/fmcad_verify.trace.jsonl,True,True,TP,
ModDiff/LoopMult10_NEq,ModDiff,LoopMult10_NEq,naive,ok,50.0,33.333333333333336,100.0,0.611111111111111,3,0,1.779077,1.8708999959926587e-05,0.41031016665510833,2.1894058756550683,-140.0,15,2,1,36,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/NEq/LoopMult10/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/LoopMult10_NEq/naive_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult10_NEq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult10_NEq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult10_NEq/naive.trace.jsonl,False,False,TN,
ModDiff/LoopMult10_NEq,ModDiff,LoopMult10_NEq,veribin_align,ok,50.0,100.0,100.0,1.0,3,0,1.779077,0.0009322500000052969,0.38269212236627936,2.1627013723662847,-126.66666666666666,15,2,1,34,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/NEq/LoopMult10/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/rankings/ModDiff/LoopMult10_NEq/veribin.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/LoopMult10_NEq/veribin_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult10_NEq/veribin_align.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult10_NEq/veribin_align.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult10_NEq/veribin_align.trace.jsonl,False,False,TN,
ModDiff/LoopMult10_NEq,ModDiff,LoopMult10_NEq,fmcad_align,ok,50.0,66.66666666666667,100.0,0.8333333333333334,3,0,1.779077,0.006816542000024128,0.3822707503568381,2.1681642923568623,-126.66666666666666,15,2,1,34,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/NEq/LoopMult10/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/rankings/ModDiff/LoopMult10_NEq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/LoopMult10_NEq/fmcad/verification_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult10_NEq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult10_NEq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult10_NEq/fmcad_verify.trace.jsonl,False,False,TN,
ModDiff/LoopMult15_NEq,ModDiff,LoopMult15_NEq,naive,ok,50.0,33.333333333333336,100.0,0.611111111111111,3,0,1.780397,1.0083000006488874e-05,0.40544858342036605,2.1858556664203723,-140.0,15,2,1,36,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/NEq/LoopMult15/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/LoopMult15_NEq/naive_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult15_NEq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult15_NEq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult15_NEq/naive.trace.jsonl,False,False,TN,
ModDiff/LoopMult15_NEq,ModDiff,LoopMult15_NEq,veribin_align,ok,50.0,100.0,100.0,1.0,3,0,1.780397,0.0006427080000435126,0.38678354141302407,2.1678232494130674,-126.66666666666666,15,2,1,34,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/NEq/LoopMult15/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/rankings/ModDiff/LoopMult15_NEq/veribin.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/LoopMult15_NEq/veribin_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult15_NEq/veribin_align.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult15_NEq/veribin_align.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult15_NEq/veribin_align.trace.jsonl,False,False,TN,
ModDiff/LoopMult15_NEq,ModDiff,LoopMult15_NEq,fmcad_align,ok,50.0,66.66666666666667,100.0,0.8333333333333334,3,0,1.780397,0.005707499999971333,0.4252958772704005,2.2114003772703716,-126.66666666666666,15,2,1,34,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/NEq/LoopMult15/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/rankings/ModDiff/LoopMult15_NEq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/LoopMult15_NEq/fmcad/verification_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult15_NEq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult15_NEq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult15_NEq/fmcad_verify.trace.jsonl,False,False,TN,
ModDiff/LoopMult2_NEq,ModDiff,LoopMult2_NEq,naive,ok,0.0,50.0,100.0,0.75,2,0,7.626757,7.291000031273143e-06,0.41884916834533215,8.045613459345363,-300.0,4,2,0,16,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths_typed/cases/ModDiff/NEq/LoopMult2/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/raw/ModDiff/LoopMult2_NEq/naive_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult2_NEq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult2_NEq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff_typed_float_numeric/logs/ModDiff/LoopMult2_NEq/naive.trace.jsonl,False,True,FP,
